catalog,schema,name,tbl_type,description,col_name,col_type,col_sort_order,col_description,is_partition_col,is_view
dw,lookup_db,sfdc_customer_profile,VIEW,,customer_success_manager_full_name,string,14,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,customer_success_manager_state,string,15,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,customer_success_manager_email,string,16,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,account_status,string,17,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,customer_since,string,18,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,segment,string,19,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,country,string,20,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,ps_region,string,21,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,state_province,string,22,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,ps_sub_region,string,23,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,region,string,24,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,group,string,25,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,super_industry,string,26,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,industry,string,27,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,bravo,boolean,28,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,spotlight,boolean,29,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,subregion,string,30,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,billing_id,string,31,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,customer_success_director,string,32,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,all_jumbo_tenants,boolean,33,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,requires_jumbo_tenant,boolean,34,,0,1
